TimeStamp,EventType,User,Client IP,Message
2023-04-04 11:21:02,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-04 11:32:24,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-04 12:00:02,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-04 12:07:09,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-04 12:31:12,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-04 17:28:07,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-04 17:35:30,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-04 17:50:52,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-04 17:58:19,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-04 18:03:55,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
